platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
1,38,35,3,4,7,0,19,19,21,70,63,70.26510067114094,73.19127516778524
1,2,35,6,3,4,0,17,8,3,70,74,66.5807150595883,71.39869989165764
1,2,35,3,13,20,3,68,65,86,70,55,66.5807150595883,71.39869989165764
1,45,0,5,5,9,0,3,2,4,70,56,67.4431554524362,71.97679814385151
1,45,35,6,6,4,1,6,4,1,70,76,67.4431554524362,71.97679814385151
1,45,35,5,5,8,0,27,8,11,70,68,67.4431554524362,71.97679814385151
1,14,35,5,8,10,0,32,19,32,69,60,65.53086419753086,70.22222222222223
0,2,14,5,18,13,2,8,5,0,69,74,66.5807150595883,71.39869989165764
1,28,35,6,10,16,0,22,19,3,69,75,69.51773049645391,71.83333333333333
1,28,35,6,2,5,0,2,4,8,69,50,69.51773049645391,71.83333333333333
1,38,35,6,4,3,0,17,14,21,69,50,70.26510067114094,73.19127516778524
1,38,35,6,5,9,0,9,3,3,69,69,70.26510067114094,73.19127516778524
1,2,35,5,4,5,1,7,4,1,69,72,66.5807150595883,71.39869989165764
0,28,0,1,2,8,0,7,0,0,68,77,69.51773049645391,71.83333333333333
0,2,0,1,3,2,2,2,0,0,68,75,66.5807150595883,71.39869989165764
1,38,35,5,7,16,1,20,26,10,68,69,70.26510067114094,73.19127516778524
1,45,35,5,5,12,2,5,2,3,68,52,67.4431554524362,71.97679814385151
1,2,35,6,5,6,0,8,3,99,68,20,66.5807150595883,71.39869989165764
1,45,35,6,10,11,2,13,7,6,67,65,67.4431554524362,71.97679814385151
1,2,35,6,3,4,0,16,2,2,67,76,66.5807150595883,71.39869989165764
1,43,35,1,3,5,1,14,2,8,67,64,63.71052631578947,68.73684210526316
0,44,7,1,2,9,2,0,1,2,67,39,59.140969162995596,72.21585903083701
1,43,35,5,7,5,1,3,0,1,67,47,63.71052631578947,68.73684210526316
0,28,35,1,3,7,1,0,1,0,67,53,69.51773049645391,71.83333333333333
0,3,35,2,6,19,0,3,5,2,67,61,67.53865979381443,71.60309278350516
1,2,9,3,10,13,2,7,6,21,67,49,66.5807150595883,71.39869989165764
0,2,7,1,9,18,2,19,24,6,66,67,66.5807150595883,71.39869989165764
1,38,8,3,4,16,1,45,24,23,66,71,70.26510067114094,73.19127516778524
1,38,35,3,4,6,1,6,6,19,66,43,70.26510067114094,73.19127516778524
1,38,35,3,3,7,2,11,18,5,66,67,70.26510067114094,73.19127516778524
1,3,35,3,3,6,1,8,6,4,66,57,67.53865979381443,71.60309278350516
1,2,35,6,9,10,2,6,6,0,66,75,66.5807150595883,71.39869989165764
1,45,35,3,13,19,3,10,14,22,65,46,67.4431554524362,71.97679814385151
0,14,26,2,1,7,1,2,0,0,65,63,65.53086419753086,70.22222222222223
1,38,9,5,13,38,1,38,12,13,65,60,70.26510067114094,73.19127516778524
0,3,6,3,15,50,4,29,15,9,65,65,67.53865979381443,71.60309278350516
1,2,35,1,5,12,2,6,4,1,65,72,66.5807150595883,71.39869989165764
1,28,35,5,5,12,1,1,2,0,64,70,69.51773049645391,71.83333333333333
1,2,35,6,2,8,1,5,0,4,64,64,66.5807150595883,71.39869989165764
0,28,35,1,1,6,1,2,2,0,64,57,69.51773049645391,71.83333333333333
0,2,35,5,3,9,2,3,1,1,64,62,66.5807150595883,71.39869989165764
1,3,35,3,9,7,2,19,23,16,64,60,67.53865979381443,71.60309278350516
1,45,5,4,0,12,0,5,4,2,63,68,67.4431554524362,71.97679814385151
1,2,14,5,1,8,0,1,2,2,63,52,66.5807150595883,71.39869989165764
0,45,35,1,2,12,0,5,1,5,63,64,67.4431554524362,71.97679814385151
1,28,35,6,5,14,3,3,9,1,63,69,69.51773049645391,71.83333333333333
1,38,35,3,1,9,1,7,7,5,63,61,70.26510067114094,73.19127516778524
1,5,0,6,3,7,2,8,7,4,63,72,67.22970297029703,71.65544554455445
0,44,1,1,3,6,2,1,0,0,62,65,59.140969162995596,72.21585903083701
1,38,35,6,2,10,1,10,1,6,62,70,70.26510067114094,73.19127516778524
0,2,35,1,2,6,1,2,0,0,62,74,66.5807150595883,71.39869989165764
1,2,35,5,2,8,2,13,6,8,61,58,66.5807150595883,71.39869989165764
0,2,35,1,6,28,5,10,6,5,61,64,66.5807150595883,71.39869989165764
1,3,7,3,1,18,2,29,19,13,61,66,67.53865979381443,71.60309278350516
1,45,35,1,1,17,0,3,16,14,61,56,67.4431554524362,71.97679814385151
1,38,35,4,5,12,5,33,23,16,61,69,70.26510067114094,73.19127516778524
1,38,14,5,2,13,2,6,6,2,61,68,70.26510067114094,73.19127516778524
0,2,14,5,5,23,2,16,0,1,61,78,66.5807150595883,71.39869989165764
1,16,35,5,2,5,1,2,2,0,60,67,73.25925925925925,76.14814814814815
